Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,region
65,Russia,102.31,11.25,17.02,16.65,11.33,3.11,13.09,18.15,11.66,Europe
66,Thailand,101.88,8.44,14.17,18.56,11.85,5.3,9.1,17.88,16.54,Asia
67,Hong Kong,99.05,12.24,14.87,12.39,14.48,8.9,7.77,12.69,15.68,Asia
68,Indonesia,97.47,6.43,13.9,15.52,9.56,4.84,11.06,17.08,19.03,Asia
69,Kazakhstan,88.31,10.76,10.66,14.23,8.6,3.04,8.72,21.09,11.16,Asia
70,Vietnam,87.48,6.34,12.31,13.0,8.64,4.81,6.8,19.49,16.05,Asia
71,Egypt,86.54,4.95,11.73,10.13,6.53,2.87,11.0,18.94,20.34,Africa
72,Peru,85.46,7.15,6.7,11.82,8.14,3.14,10.18,17.72,20.57,Americas
73,Philippines,85.37,5.12,12.63,14.74,8.22,5.37,9.75,16.22,13.28,Asia
74,Sri Lanka,85.16,5.24,12.83,15.56,6.78,6.68,12.66,12.69,12.68,Asia
75,Iran,74.14,4.36,9.75,9.93,7.49,4.82,9.22,14.88,13.64,Asia
76,Kenya,70.56,4.52,6.34,9.2,6.65,5.23,9.38,12.68,16.52,Africa
77,Bangladesh,70.03,6.25,6.79,8.06,6.07,2.46,10.68,16.24,13.43,Asia
78,Nigeria,55.65,2.09,5.62,8.0,4.81,2.59,9.48,13.6,9.43,Africa
